"Course Name","Department","Description","Hero Image","Default Grading Scale","ID (Topics)","Topic (Topics)","Topic Name (Topics)"
"Module 3: PKI (Private Key Infrastructure)","Informatique - IX","","/files/ssl-2890762_1920.jpg","","","",""
"Module 2: IAM (  Identity and Access Management )","Informatique - IX","","/files/fingerprint-2904774_1920.jpg","","","",""
"Module 1: Cryptographie","Informatique - IX","","/files/stock-trading-6525084_1920.jpg","","","",""
"Deploy DNS","Informatique - IX","","","","","",""
"Initiation a wordpress","Informatique - IX","Ce cour présente les bases sur l'utilisation de wordpress","/files/WordPress-512.png","","2af7131355","implement project","implement project"
"","","","","","a0b35271e9","Read documentation","Read documentation"
"Spring boot par la pratique","Informatique - IX","Ce cours va vous apprendre spring boot grâce a des projets concrets.","/files/spring2.png","","2fd14ab9e4","Développement","Développement"
"","","","","","6383b6f71c","Read documentation","Read documentation"
"Initiation a ERPNext","Informatique - IX","Cours pour apprendre ERPNext","","","","",""
"Initiation a Mysql","Informatique - IX","Ce cours vous donne les bases sur mysql","","","813cc8e51e","Développement","Développement"
"Introduction and Reminder","Informatique - IX","","/files/reminder.jpg","","6dd985a735","Introduction to Bigdata key concepts","Introduction to Bigdata key concepts"
"","","","","","c3c0df5cbc","Functional programming with Java 8+","Functional programming with Java 8+"
"","","","","","de0841e00e","Setup your IDE for Bigdata apps development (Java 8, IntelliJ, Maven, Hadoop-unit)","Setup your IDE for Bigdata apps development (Java 8, IntelliJ, Maven, Hadoop-unit)"
"","","","","","a848e5ee0d","Evaluation","Evaluation"
"Traitement des données à grande échelle","Informatique - IX","","","","","",""
"Stockage des données a grande échelle","Informatique - IX","","","","","",""
"introduction au big data","BIG DATA - IX","","","","","",""
"Module 4 : 3D Animation","","- Introduction","/files/3d.jpg","","","",""
"Module 3: Video editing",""," - Introduction  <br>
 - sound processing <br>
 - Animation <br>","/files/videoediting.jpg","","","",""
"Module 2: UX/UI Design",""," - Methods, concepts, UX design theories <br>
 - UX analysis phase <br>
 - Introduction of ux design with tools <br>","/files/ux.jpg","","","",""
"Module 1: Graphic Design",""," - Creativity: Tools <br>

 - Initiation to the creation of a visual identity or brand (using free &amp; opensource softwares) <br>

 - Graphic design for everyone at no additional cost<br>

 - newspaper and magazine publishing<br>","/files/graphisme.jpg","","","",""
