"Course Name","Department","Description","Hero Image","Default Grading Scale","description image","description text","tools"
"test","Informatique - IX","","","","","",""
"Prendre en main la méssagérie instantanée","Informatique - IX","La méssagerie instantanée est un service permettant d'echanger sur les différents projets dans lequels vous êtes présent.","/files/chat.jpg","","","",""
"Prendre en main le DRIVE IREX","Informatique - IX","Le DRIVE IREX est un outils qui vous permet de sauvégarder les documents et de les partagés avec les proches.","/files/documents.jpg","","","",""
"Prendre en main le service de plannification","Informatique - IX","Le service de planification va vous aider à faire des sondages variés sur les dates et heures de rendez-vous et bien d'autres encore.","/files/Capture d’écran de 2022-02-24 11-36-01.png","","","",""
"Prendre en main le service de mail","Informatique - IX","Le MAIL est un service permettant l'envoi de courrier électronique au sein du réseau IREX et meme à l'extérrieur.","/files/mail.jpg","","","",""
"Prendre en main le service de gestion de projet","Informatique - IX","Ce module va permettre d'apprendre les bases sur le travail en équipe et aussi les méthodologies de travail tel que SCRUM et KANBAN.","/files/tuleap.jpg","","","",""
"Prendre en main le service de visio-conférence","Informatique - IX","JIONE est une solution permettant à des personnes de communiquer indépendamment de leur position géographique juste avec une connexion internet.","/files/jione.jpg","","","",""
"Prendre en main le bureau distant GATE","Informatique - IX","Le bureau distant (GATE) est une solution permettant d'accéder à l'interface graphique ou au terminal d'un ordinateur physiquement éloigné via un autre ordinateur local.","/files/gate.jpg","","","",""
"Développement front end","Informatique - IX","Vous allez pouvoir créer des Front End attrayant avec les technologies du moment <br><br>

- LANGAGES : HTML5, CSS3, Javascript, Bootstrap  etc ... <br>

Afin d’assoir les bases qui seront utiles par la suite.","/files/dev_front end.png","","","",""
"Intégration avec des API","Informatique - IX","Ici nous allons apprendre à récupérer les données d'une source externe vers notre Front End ou alors faire le chemin inverse qui consiste à envoyer les données vers un backend. <br><br>

Nous allons apprendre à utiliser les technologies suivantes: <br>
<li>Postman</li> 
<li>Swagger </li>
<li>Les Web Service </li>","/files/dev_front_apic1a5af.png","","","",""
"Développement backend","Informatique - IX","Cette partie est une introduction au développement backend. Les concepts abordés dans cette partie sont les suivants :
<li>La programmation fonctionnelle</li>
<li>Les Test unitaires</li>
<li>Les IDE</li>","/files/dev_backend6ffb4b.png","","","",""
