"ID","Is Private","Is Attachments Folder","File URL","Attached To DocType","File Size","Thumbnail URL","File Name"
"61736154b7",0,0,"/files/roland_cv.pdf","User",50308,"","roland_cv.pdf"
"cec52a32b2",0,0,"/files/alain_cv.pdf","User",224765,"","alain_cv.pdf"
"15f19ecd0e",0,0,"/files/raymond_cv.pdf","User",253088,"","raymond_cv.pdf"
"ae2c4b754e",0,0,"/files/goran_cv.pdf","User",175779,"","goran_cv.pdf"
"f818624f12",0,0,"/files/abdullah_cv.pdf","User",371956,"","abdullah_cv.pdf"
"c774cfeb7f",0,0,"/files/gaby_cv.pdf","User",146274,"","gaby_cv.pdf"
"caf1ebf23d",0,0,"/files/xdp-18.jpg","Topic",68127,"","xdp-18.jpg"
"2a12130722",0,0,"/files/xdp-17.jpg","Topic",64930,"","xdp-17.jpg"
"55ca49d7d5",0,0,"/files/xdp-16.jpg","Topic",71272,"","xdp-16.jpg"
"b53810b1ef",0,0,"/files/xdp-15.png","Topic",328620,"","xdp-15.png"
"9a8d8cce6d",0,0,"/files/xdp-14.jpg","Topic",47505,"","xdp-14.jpg"
"f5cf82555a",0,0,"/files/xdp-13.jpg","Topic",46988,"","xdp-13.jpg"
"ca6786138b",0,0,"/files/xdp-12.jpg","Topic",49193,"","xdp-12de926b.jpg"
"da9facbd58",0,0,"/files/xdp-12.jpg","Topic",49193,"","xdp-12.jpg"
"3144e9ba68",0,0,"/files/xdp-11.jpg","Topic",50371,"","xdp-11.jpg"
"59391ff568",0,0,"/files/xdp-10.jpg","Topic",54298,"","xdp-10.jpg"
"bd532f6180",0,0,"/files/xdp-9.jpg","Topic",54360,"","xdp-9.jpg"
"58a2a20f92",0,0,"/files/xdp-8.jpg","Topic",52820,"","xdp-8.jpg"
"4bda59256f",0,0,"/files/xdp-6.jpg","Course",53337,"","xdp-6.jpg"
"b925da302c",0,0,"/files/xdp-5.jpg","Course",52946,"","xdp-5.jpg"
"02d9aaf8d1",0,0,"/files/2.jpg","Course",54360,"","2.jpg"
"1077beed7e",1,0,"/private/files/Server_Script.csv","Data Import",2747,"","Server_Script.csv"
"eac4cdcf4e",1,0,"/private/files/Course_Modality 2.csv","Data Import",1842,"","Course_Modality 2.csv"
"a0d96bc069",0,0,"/files/jason-goodman-X8H8vPcelPk-unsplash.jpg","",401573,"","jason-goodman-X8H8vPcelPk-unsplash.jpg"
"0d8a79cd4b",1,0,"/private/files/Program1d1cfb.csv","Data Import",8194,"","Program1d1cfb.csv"
"e07abf79eb",1,0,"/private/files/Courseb0245e.csv","Data Import",11574,"","Courseb0245e.csv"
"4869932b7a",0,0,"/files/gate.jpg","Course",0,"","gate.jpg"
"2ad5b60dff",0,0,"/files/jione.jpg","Course",0,"","jione.jpg"
"ba533ed9f5",0,0,"/files/tuleap.jpg","Course",0,"","tuleap.jpg"
"0d6c170181",0,0,"/files/mail.jpg","Course",0,"","mail.jpg"
"ad180c3b94",0,0,"/files/documents.jpg","Course",0,"","documents.jpg"
"26ac4922d4",0,0,"/files/chat.jpg","Course",0,"","chat.jpg"
"d53160a5a5",1,0,"/private/files/Courseb0245e.csv","Data Import",11574,"","Courseb0245e.csv"
"3f666815ed",0,0,"/files/user.png","",16826,"","user.png"
"bc1d48ea7d",0,0,"/files/money-bag.png","",16173,"","money-bag.png"
"33e743ab12",0,0,"/files/clock.png","",14310,"","clock.png"
"5afe0f4f86",0,0,"/files/debouches.png","",26700,"","debouches.png"
"331fb94201",0,0,"/files/cube.png","",23571,"","cube.png"
"520ef70400",0,0,"/files/rythme.png","",6793,"","rythme.png"
"8379b61382",0,0,"/files/module.png","",10041,"","module.png"
"a3db85d73d",0,0,"/files/money.png","",14232,"","money.png"
"d38ed0c3d3",0,0,"/files/checklists.png","",8854,"","checklists.png"
"90583cc9f3",0,0,"/files/Mbappe Greg_cv.pdf","User",98536,"","Mbappe Greg_cv.pdf"
"65ae8bb399",0,0,"/files/Yolande BAGADEMA NKEME_cv.pdf","User",641188,"","Yolande BAGADEMA NKEME_cv.pdf"
"6436e85daf",0,0,"/files/ATIMENE SAHADEUH Junie_cv.pdf","User",338311,"","ATIMENE SAHADEUH Junie_cv.pdf"
"0b9c9d722b",0,0,"/files/nestor Winamo_cv.pdf","User",116480,"","nestor Winamo_cv.pdf"
