Program Name,Department,Program Abbreviation,Is Published,Allow Self Enroll,Is Featured,Intro Video,Hero Image,Description,ID (Courses),Course (Courses),Course Name (Courses),Mandatory (Courses)
Comptabilité,Informatique - IX,09-con,1,1,0,,/files/calculator-385506_1920.jpg,Le domaine de la comptabilité vous passionne ? suivez notre parcours et faites vous accompagner par des experts dans le domaine.,43b62ae3c4,Technicien comptable,Technicien comptable,1
,,,,,,,,,7abf3e4e3b,Analyse comptable,Analyse comptable,1
Communication,Informatique - IX,21-Communication,1,1,0,,/files/email-4284157_1280.png,<b>Coming soon</b>,,,,
Marketing digital,Informatique - IX,07-marketing,1,1,0,,/files/digital-marketing-5816304_1920.jpg,"Dans ce module nous allons vous accompagner par la pratique, vous aider à acquérir les compétences nécessaires pour devenir rapidement un spécialiste du marketing digital et ainsi dynamiser votre carrière.",13910fe9a5,Community management,Community management,1
Développement Web et Mobile,Informatique - IX,03-dev-web,1,1,0,,/files/web.jpg,Découvrez les technologies a la pointe dans le domaine du Web et faites carrière dans ce domaine en forte demande.,9a9fed3a0c,Initiation à l'informatique professionnelle,Initiation à l'informatique professionnelle,0
,,,,,,,,,499d9f8b07,Développement front end,Développement front end,0
,,,,,,,,,11c7d0b26f,Intégration avec des API,Intégration avec des API,0
,,,,,,,,,4fb693ad30,Développement backend,Développement backend,0
,,,,,,,,,68bbce34e1,Développement backend avancé,Développement backend avancé,0
DevOps,Informatique - IX,04-DEVOPS,1,1,0,,/files/devops-3155972_1920.jpg,À la découverte du monde du DevOps pour une carrière réussie.,8b7e80e38c,Initiation à l'informatique professionnelle,Initiation à l'informatique professionnelle,1
,,,,,,,,,85b6b1cabf,DevOps1: Linux From Scratch,DevOps1: Linux From Scratch,1
,,,,,,,,,afb970c3b6,DevOps2 : Déploiement des services sur des machines virtuelles,DevOps2 : Déploiement des services sur des machines virtuelles,1
,,,,,,,,,bf7cc84465,DevOps3 : Déploiement sur docker,DevOps3 : Déploiement sur docker,1
,,,,,,,,,853f25a3f2,DevOps4 : Déploiement sur Kubernetes,DevOps4 : Déploiement sur Kubernetes,1
Analyse d'affaire,Informatique - IX,02-AAF,1,1,0,,/files/business-analysis-process.png,"Dans ce programme qui s'adresse tout particulièrement aux diplômés des filières autres que les technologies de l'information, nous apprenons les métiers liés à l'analyse d'affaire. Des métiers qui s'exercent au sein même d'équipe projets informatiques.",9c91ae66da,Initiation à l'informatique professionnelle,Initiation à l'informatique professionnelle,1
,,,,,,,,,72e04f0b8b,Assurance Qualité en logiciel,Assurance Qualité en logiciel,1
,,,,,,,,,a2666e938b,Implantation de logiciel,Implantation de logiciel,1
,,,,,,,,,14c1080fa5,Ingénierie des processus métier,Ingénierie des processus métier,1
,,,,,,,,,72bd09c9ad,Analyse d'affaire en logiciels,Analyse d'affaire en logiciels,1
IOT : Internet des Objets,Informatique - IX,05-IOT,1,1,0,,/files/internet-of-things-IoT.jpeg,"L'Internet des objets désigne l'ensemble des infrastructures et technologies mises en place pour faire fonctionner des objets divers par le biais d'une connexion Internet. On parle alors d'objets connectés. <br><br>

Dans ce cours nous allons parcourir ces infrastructures et technologies et surtout nous allons développer des logiciels pour les faire fonctionner. ",704497b40b,Initiation à l'informatique professionnelle,Initiation à l'informatique professionnelle,1
,,,,,,,,,7e44b464a9,IOT1 : Linux From Scratch,IOT1 : Linux From Scratch,1
,,,,,,,,,ad091ab4e7,IOT2 : Déploiement des services sur des machines virtuelles,IOT2 : Déploiement des services sur des machines virtuelles,1
,,,,,,,,,d94148d339,IOT3 : Déploiement sur docker,IOT3 : Déploiement sur docker,1
,,,,,,,,,b97b7591fe,IOT4 : Infrastructure Iot,IOT4 : Infrastructure Iot,1
,,,,,,,,,0b82a00304,IOT5 : Développement Iot,IOT5 : Développement Iot,1
Big Data,Informatique - IX,06-BD,1,1,0,,/files/webpc-passthru.png,Ce cours s'adresse aux personnes ayant une première expérience en programmation et souhaitant s'orienter vers les métiers autour de la valorisation des données de masse.,254222ea9f,Initiation à l'informatique professionnelle,Initiation à l'informatique professionnelle,1
,,,,,,,,,1cbefbcd67,BD1: Large scale data processing,BD1: Large scale data processing,1
,,,,,,,,,"3,837386E+030",BD2: Large scale data storage,BD2: Large scale data storage,1
,,,,,,,,,fb87e515d3,BD3: Large scale data job scheduling,BD3: Large scale data job scheduling,1
,,,,,,,,,dc52419846,BD4: Large scale data streaming,BD4: Large scale data streaming,1
,,,,,,,,,292ecdb484,BD5: Large scale data science,BD5: Large scale data science,1
